pid,amphoe,rai
ANGTHONG,ป่าโมก,9152.58049930077
ANGTHONG,วิเศษชัยชาญ,37867.98154955673
ANGTHONG,สามโก้,2924.0227661035055
ANGTHONG,เมืองอ่างทอง,10205.943492582235
ANGTHONG,แสวงหา,13347.264553887639
ANGTHONG,โพธิ์ทอง,25442.13655798066
ANGTHONG,ไชโย,3768.7555413784976
AYUTTHAYA,ท่าเรือ,3095.19119593737
AYUTTHAYA,นครหลวง,3810.496175701037
AYUTTHAYA,บางซ้าย,72196.53210302003
AYUTTHAYA,บางบาล,34662.36576201952
AYUTTHAYA,บางปะหัน,18538.971474843816
AYUTTHAYA,บางปะอิน,17674.32181022652
AYUTTHAYA,บางไทร,38231.93828991679
AYUTTHAYA,บ้านแพรก,9895.524368961773
AYUTTHAYA,ผักไห่,74741.95693641658
AYUTTHAYA,พระนครศรีอยุธยา,8181.742047281972
AYUTTHAYA,ภาชี,186.13285775760158
AYUTTHAYA,มหาราช,23302.157479735222
AYUTTHAYA,ลาดบัวหลวง,22811.654405516438
AYUTTHAYA,วังน้อย,3841.6484687885577
AYUTTHAYA,อุทัย,2739.967960160751
AYUTTHAYA,เสนา,81672.35556682239
BANGKOK,เขตคลองสาน,0.0
BANGKOK,เขตคลองสามวา,0.0
BANGKOK,เขตคลองเตย,0.0
BANGKOK,เขตคันนายาว,0.0
BANGKOK,เขตจตุจักร,0.0
BANGKOK,เขตจอมทอง,0.0
BANGKOK,เขตดอนเมือง,0.0
BANGKOK,เขตดินแดง,0.0
BANGKOK,เขตดุสิต,0.0
BANGKOK,เขตตลิ่งชัน,0.0
BANGKOK,เขตทวีวัฒนา,0.0
BANGKOK,เขตทุ่งครุ,0.0
BANGKOK,เขตธนบุรี,0.0
BANGKOK,เขตบางกอกน้อย,0.0
BANGKOK,เขตบางกอกใหญ่,0.0
BANGKOK,เขตบางกะปิ,0.0
BANGKOK,เขตบางขุนเทียน,0.0
BANGKOK,เขตบางคอแหลม,0.0
BANGKOK,เขตบางซื่อ,0.0
BANGKOK,เขตบางนา,0.0
BANGKOK,เขตบางบอน,0.0
BANGKOK,เขตบางพลัด,0.0
BANGKOK,เขตบางรัก,0.0
BANGKOK,เขตบางเขน,0.0
BANGKOK,เขตบางแค,0.0
BANGKOK,เขตบึงกุ่ม,0.0
BANGKOK,เขตปทุมวัน,0.0
BANGKOK,เขตประเวศ,0.0
BANGKOK,เขตป้อมปราบศัตรูพ่าย,0.0
BANGKOK,เขตพญาไท,0.0
BANGKOK,เขตพระนคร,0.0
BANGKOK,เขตพระโขนง,0.0
BANGKOK,เขตภาษีเจริญ,0.0
BANGKOK,เขตมีนบุรี,0.0
BANGKOK,เขตยานนาวา,0.0
BANGKOK,เขตราชเทวี,0.0
BANGKOK,เขตราษฎร์บูรณะ,0.0
