pid,amphoe,rai,year,dnorm
ANGTHONG,ป่าโมก,9152.58049930077,2023,ป่าโมก
ANGTHONG,วิเศษชัยชาญ,37867.98154955673,2023,วิเศษชัยชาญ
ANGTHONG,สามโก้,2924.022766103505,2023,สามโก้
ANGTHONG,เมืองอ่างทอง,10205.943492582235,2023,เมืองอ่างทอง
ANGTHONG,แสวงหา,13347.26455388764,2023,แสวงหา
ANGTHONG,โพธิ์ทอง,25442.13655798066,2023,โพธิ์ทอง
ANGTHONG,ไชโย,3768.7555413784976,2023,ไชโย
AYUTTHAYA,ท่าเรือ,3095.19119593737,2023,ท่าเรือ
AYUTTHAYA,นครหลวง,3810.496175701037,2023,นครหลวง
AYUTTHAYA,บางซ้าย,72196.53210302003,2023,บางซ้าย
AYUTTHAYA,บางบาล,34662.36576201952,2023,บางบาล
AYUTTHAYA,บางปะหัน,18538.971474843816,2023,บางปะหัน
AYUTTHAYA,บางปะอิน,17674.32181022652,2023,บางปะอิน
AYUTTHAYA,บางไทร,38231.93828991679,2023,บางไทร
AYUTTHAYA,บ้านแพรก,9895.524368961773,2023,บ้านแพรก
AYUTTHAYA,ผักไห่,74741.95693641658,2023,ผักไห่
AYUTTHAYA,พระนครศรีอยุธยา,8181.742047281972,2023,พระนครศรีอยุธยา
AYUTTHAYA,ภาชี,186.1328577576016,2023,ภาชี
AYUTTHAYA,มหาราช,23302.157479735222,2023,มหาราช
AYUTTHAYA,ลาดบัวหลวง,22811.65440551644,2023,ลาดบัวหลวง
AYUTTHAYA,วังน้อย,3841.6484687885577,2023,วังน้อย
AYUTTHAYA,อุทัย,2739.967960160751,2023,อุทัย
AYUTTHAYA,เสนา,81672.35556682239,2023,เสนา
BANGKOK,เขตคลองสาน,0.0,2023,คลองสาน
BANGKOK,เขตคลองสามวา,0.0,2023,คลองสามวา
BANGKOK,เขตคลองเตย,0.0,2023,คลองเตย
BANGKOK,เขตคันนายาว,0.0,2023,คันนายาว
BANGKOK,เขตจตุจักร,0.0,2023,จตุจักร
BANGKOK,เขตจอมทอง,0.0,2023,จอมทอง
BANGKOK,เขตดอนเมือง,0.0,2023,ดอนเมือง
BANGKOK,เขตดินแดง,0.0,2023,ดินแดง
BANGKOK,เขตดุสิต,0.0,2023,ดุสิต
BANGKOK,เขตตลิ่งชัน,0.0,2023,ตลิ่งชัน
BANGKOK,เขตทวีวัฒนา,0.0,2023,ทวีวัฒนา
BANGKOK,เขตทุ่งครุ,0.0,2023,ทุ่งครุ
BANGKOK,เขตธนบุรี,0.0,2023,ธนบุรี
BANGKOK,เขตบางกอกน้อย,0.0,2023,บางกอกน้อย
BANGKOK,เขตบางกอกใหญ่,0.0,2023,บางกอกใหญ่
BANGKOK,เขตบางกะปิ,0.0,2023,บางกะปิ
BANGKOK,เขตบางขุนเทียน,0.0,2023,บางขุนเทียน
BANGKOK,เขตบางคอแหลม,0.0,2023,บางคอแหลม
BANGKOK,เขตบางซื่อ,0.0,2023,บางซื่อ
BANGKOK,เขตบางนา,0.0,2023,บางนา
BANGKOK,เขตบางบอน,0.0,2023,บางบอน
BANGKOK,เขตบางพลัด,0.0,2023,บางพลัด
BANGKOK,เขตบางรัก,0.0,2023,บางรัก
BANGKOK,เขตบางเขน,0.0,2023,บางเขน
BANGKOK,เขตบางแค,0.0,2023,บางแค
BANGKOK,เขตบึงกุ่ม,0.0,2023,บึงกุ่ม
BANGKOK,เขตปทุมวัน,0.0,2023,ปทุมวัน
BANGKOK,เขตประเวศ,0.0,2023,ประเวศ
BANGKOK,เขตป้อมปราบศัตรูพ่าย,0.0,2023,ป้อมปราบศัตรูพ่าย
BANGKOK,เขตพญาไท,0.0,2023,พญาไท
BANGKOK,เขตพระนคร,0.0,2023,พระนคร
BANGKOK,เขตพระโขนง,0.0,2023,พระโขนง
BANGKOK,เขตภาษีเจริญ,0.0,2023,ภาษีเจริญ
BANGKOK,เขตมีนบุรี,0.0,2023,มีนบุรี
BANGKOK,เขตยานนาวา,0.0,2023,ยานนาวา
BANGKOK,เขตราชเทวี,0.0,2023,ราชเทวี
BANGKOK,เขตราษฎร์บูรณะ,0.0,2023,ราษฎร์บูรณะ
BANGKOK,เขตลาดกระบัง,0.0,2023,ลาดกระบัง
